0 k.id;1 k.name;2 k.address;3 k.elderate;4 m.name;5 m.surname
190017986;Sadutė;Z. Sierakausko g. 28;Naujamiesčio;Honoratas;Dumatas
190033314;Sakalėlis;S. Stanevičiaus g. 86;Fabijoniškių;Felius;Mazgis
190019460;Salvija;J. Jasinskio g. 17;Naujamiesčio;Elonas;Verbys
190027560;Saulėgrąža;Taikos g. 31;Justiniškių;Svaigedas;Makelis
190014157;Saulėtekis;Genių g. 12;Naujosios Vilnios;Eisvidas;Graudužas
290029950;Šermukšnėlė;Didlaukio g. 66;Verkių;Rindaugas;Beresnevičius
290026840;Šilelis;Sietyno g. 5;Karoliniškių;Drąsis;Sublovas
190014680;Skroblinukas;Skroblų g. 13;Vilkpėdės;Konstantas;Krapenis
190025552;Smalsučiai;Minties g. 40;Žirmūnų;Bangis;Berešna
190017267;Šnekutis;Vytenio g. 41;Naujamiesčio;Herman;Banasiukas
190011613;Spragtukas;Žirmūnų g. 108;Žirmūnų;Mintaras;Veimeris
190022595;Spygliukas;Architektų g. 16;Lazdynų;Tautvidas;Faitušas
190028477;Strazdelis;Igno Šimulionio g. 14;Karoliniškių;Remigis;Ostachavičius
190030161;Sveikuolis;Dūkštų g. 14;Šeškinės;Rusnius;Jenevičius
190019656;Švelnukas;Žalgirio g. 115;Šnipiškių;Vosilijus;Užunaris
190011766;Šypsena;Povilo Višinskio g. 23;Senamiesčio;Eidvydas;Skuja
291326310;Trakų Vokės;Eduardo Andrė g. 6;Panerių;Vingirdas;Bilonas
190022442;Užupiukas;Filaretų g. 19;Senamiesčio;Lazaras;Drūžas
190015978;Vaidilutė;Rinktinės g. 5B;Žirmūnų;Tichonas;Spancierna
190033990;Vandenis;P. Žadeikos g. 14A;Fabijoniškių;Tolijus;Kirkantas
190030019;Varpelis;Ukmergės g. 204;Šeškinės;Eidimantas;Raziliunas
190032899;Vėjelis;Gabijos g. 21;Pašilaičių;Deinaras;Kliučnikas
190033848;Vėrinėlis;S. Stanevičiaus g. 68;Fabijoniškių;Agapitas;Auksoraitis
190028096;Vėtrungė;Gardino g. 8;Rasų;Esmeraldas;Každoliavičius
190020815;Vieversys;Žirmūnų g. 89;Žirmūnų;Gijus;Kvasas
190023544;Vilnelė;Pergalės g. 20;Naujosios Vilnios;Danielius;Sedlorius
190014538;Viltenė;Gerosios Vilties g. 7A;Vilkpėdės;Adolpas;Žaba
190012868;Voveraitė;Jūratės g. 4A;Antakalnio;Gotis;Bernius
190023359;Želmenėliai;Šaltkalvių g. 30;Naujininkų;Tom;Kenkelis
290011190;Žemuogėlė;Architektų g. 108;Lazdynų;Reinholdas;Jurgeliunas
190032027;Žemyna;Žemynos g. 13;Pašilaičių;Lygmantas;Skvirblis
290028510;Žiburėlis;Laisvės pr. 46;Karoliniškių;Horstas;Garbenis
290023730;Žibutė;Architektų g. 62;Lazdynų;Aidas;Plankevičius
190032212;Žiedas;Žemynos g. 41;Pašilaičių;Romas;Bonasas
190015825;Žilvinėlio;Taikos g. 130;Justiniškių;Levanas;Chvatovičius
190022823;Žilvitis;Viršuliškių g. 9;Viršuliškių;Sirvydas;Būdauskas
190013774;Žiogelis;J. Kolaso g. 15;Naujosios Vilnios;Aumantas;Šipila
290020620;Žirmūnėliai;Žirmūnų g. 13;Žirmūnų;Rėdas;Labudis
190018892;Žirniukas;Verkių g. 17;Žirmūnų;Aistrius;Geiba-hermanovičius
304221230;Žolynas;Žolyno g. 45A;Antakalnio;Rodolfas;Znamenskas
190023163;Žolynėlis;Žolyno g. 44;Antakalnio;Algimas;Filkeris
190017648;Žuvėdra;Parko g. 8A;Naujosios Vilnios;Levas;Plotnikovas
190017833;Žvangutis;Rinktinės g. 38A;Šnipiškių;Varsanofijus;Bėka
190029198;Zylutė;Justiniškių g. 45;Viršuliškių;Sofijus;Trumpickas
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
